key,kind,research,resolved_result,resolved_catalyst,resolved_components
WandRodSilverwoodStaff,ARCANE_SHAPED,ROD_silverwood_staff,thaumcraft:tc4_staff_rod_silverwood,thaumcraft:tc4_charm,thaumcraft:tc4_wand_rod_silverwood
WandRodIceStaff,ARCANE_SHAPED,ROD_ice_staff,thaumcraft:tc4_staff_rod_ice,thaumcraft:tc4_charm,thaumcraft:tc4_wand_rod_ice
WandRodQuartzStaff,ARCANE_SHAPED,ROD_quartz_staff,thaumcraft:tc4_staff_rod_quartz,thaumcraft:tc4_charm,thaumcraft:tc4_wand_rod_quartz
WandRodReedStaff,ARCANE_SHAPED,ROD_reed_staff,thaumcraft:tc4_staff_rod_reed,thaumcraft:tc4_charm,thaumcraft:tc4_wand_rod_reed
WandRodBlazeStaff,ARCANE_SHAPED,ROD_blaze_staff,thaumcraft:tc4_staff_rod_blaze,thaumcraft:tc4_charm,thaumcraft:tc4_wand_rod_blaze
WandRodBoneStaff,ARCANE_SHAPED,ROD_bone_staff,thaumcraft:tc4_staff_rod_bone,thaumcraft:tc4_charm,thaumcraft:tc4_wand_rod_bone
Deconstructor,ARCANE_SHAPED,DECONSTRUCTOR,thaumcraft:table,thaumcraft:table,thaumcraft:thaumometer|minecraft:flint_and_steel|minecraft:apple
ArcaneBoreBase,ARCANE_SHAPED,ARCANEBORE,thaumcraft:tc4_block_arcane_bore_base,thaumcraft:tc4_block_greatwood_planks,minecraft:iron_ingot|minecraft:oak_log
EnchantedFabric,ARCANE_SHAPED,ENCHFABRIC,thaumcraft:tc4_cloth,minecraft:string,minecraft:white_wool
RobeChest,ARCANE_SHAPED,ENCHFABRIC,thaumcraft:tc4_clothchest,thaumcraft:tc4_cloth,
RobeLegs,ARCANE_SHAPED,ENCHFABRIC,thaumcraft:tc4_clothlegs,thaumcraft:tc4_cloth,
RobeBoots,ARCANE_SHAPED,ENCHFABRIC,thaumcraft:tc4_clothboots,thaumcraft:tc4_cloth,
Goggles,ARCANE_SHAPED,GOGGLES,thaumcraft:tc4_gogglesrevealing,thaumcraft:thaumometer,minecraft:gold_ingot|minecraft:sugar
GolemBell,ARCANE_SHAPED,GOLEMBELL,thaumcraft:tc4_ironbell,minecraft:stick,minecraft:nether_wart
CoreBlank,ARCANE_SHAPED,COREGATHER,thaumcraft:tc4_golem_core_blank,minecraft:red_bed,thaumcraft:tc4_nitor
UpgradeAir,ARCANE_SHAPED,UPGRADEAIR,thaumcraft:tc4_golem_upgrade_air,minecraft:gold_nugget,thaumcraft:tc4_shard_aer
UpgradeEarth,ARCANE_SHAPED,UPGRADEEARTH,thaumcraft:tc4_golem_upgrade_earth,minecraft:gold_nugget,thaumcraft:tc4_shard_terra
UpgradeFire,ARCANE_SHAPED,UPGRADEFIRE,thaumcraft:tc4_golem_upgrade_fire,minecraft:gold_nugget,thaumcraft:tc4_shard_ignis
UpgradeWater,ARCANE_SHAPED,UPGRADEWATER,thaumcraft:tc4_golem_upgrade_water,minecraft:gold_nugget,thaumcraft:tc4_shard_aqua
UpgradeOrder,ARCANE_SHAPED,UPGRADEORDER,thaumcraft:tc4_golem_upgrade_order,minecraft:gold_nugget,thaumcraft:tc4_shard_ordo
UpgradeEntropy,ARCANE_SHAPED,UPGRADEENTROPY,thaumcraft:tc4_golem_upgrade_entropy,minecraft:gold_nugget,thaumcraft:tc4_shard_perditio
TinyHat,ARCANE_SHAPED,TINYHAT,thaumcraft:tc4_golemdecoarmor,minecraft:white_wool,minecraft:gold_ingot
TinyFez,ARCANE_SHAPED,TINYFEZ,thaumcraft:tc4_golemdecoarmor,minecraft:white_wool,minecraft:string
TinyBowtie,ARCANE_SHAPED,TINYBOWTIE,thaumcraft:tc4_golemdecoarmor,minecraft:white_wool,minecraft:string
TinyGlasses,ARCANE_SHAPED,TINYGLASSES,thaumcraft:tc4_golemdecoarmor,minecraft:glass,minecraft:iron_ingot
TinyDart,ARCANE_SHAPED,TINYDART,thaumcraft:tc4_golemdecoarmor,minecraft:iron_ingot,minecraft:oak_log|minecraft:arrow
TinyVisor,ARCANE_SHAPED,TINYVISOR,thaumcraft:tc4_golemdecoarmor,minecraft:iron_ingot,minecraft:flint
TinyArmor,ARCANE_SHAPED,TINYARMOR,thaumcraft:tc4_golemdecoarmor,minecraft:iron_ingot,minecraft:porkchop
TinyHammer,ARCANE_SHAPED,TINYHAMMER,thaumcraft:tc4_golemdecoarmor,minecraft:iron_ingot,
Filter,ARCANE_SHAPED,DISTILESSENTIA,thaumcraft:tc4_filter,minecraft:gold_ingot,thaumcraft:tc4_block_silverwood_planks
Alembic,ARCANE_SHAPED,DISTILESSENTIA,thaumcraft:tc4_block_alembic,minecraft:iron_ingot,minecraft:compass|minecraft:gold_ingot|thaumcraft:tc4_filter|thaumcraft:tc4_block_silverwood_leaves
Bellows,ARCANE_SHAPED,BELLOWS,thaumcraft:tc4_block_bellows,minecraft:oak_planks,thaumcraft:tc4_shard_aer|minecraft:iron_ingot|minecraft:sugar
Tube,ARCANE_SHAPED,TUBES,thaumcraft:tc4_block_essentia_tube,minecraft:iron_ingot,minecraft:gold_nugget|minecraft:glass|thaumcraft:tc4_nuggetquicksilver
Resonator,ARCANE_SHAPED,TUBES,thaumcraft:tc4_resonator,minecraft:iron_ingot,minecraft:nether_wart|minecraft:stick
TubeValve,ARCANE_SHAPELESS,TUBES,thaumcraft:tc4_block_essentia_tube,thaumcraft:tc4_block_essentia_tube,minecraft:mycelium
TubeBuffer,ARCANE_SHAPED,CENTRIFUGE,thaumcraft:tc4_block_essentia_tube,thaumcraft:tc4_block_essentia_tube,thaumcraft:tc4_block_essentia_tube|thaumcraft:tc4_essence
AlchemicalConstruct,ARCANE_SHAPED,DISTILESSENTIA,thaumcraft:tc4_block_alchemical_construct,thaumcraft:tc4_block_greatwood_planks,thaumcraft:tc4_block_essentia_tube|thaumcraft:tc4_block_essentia_tube|thaumcraft:tc4_filter
AdvAlchemyConstruct,ARCANE_SHAPED,ADVALCHEMYFURNACE,thaumcraft:tc4_block_advanced_alchemical_furnace,thaumcraft:tc4_block_alchemical_construct,thaumcraft:tc4_voidingot|thaumcraft:tc4_eldritch_object_3
MnemonicMatrix,ARCANE_SHAPED,THAUMATORIUM,thaumcraft:tc4_block_mnemonic_matrix,thaumcraft:tc4_brain,thaumcraft:tc4_amber|minecraft:iron_ingot
InfEnchRepair,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77331_b[ThaumcraftApi.enchantRepair],thaumcraft:tc4_dust,
InfEnchHaste,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77331_b[ThaumcraftApi.enchantHaste],thaumcraft:tc4_nitor,
InfEnch0,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77332_c,thaumcraft:tc4_dust,
InfEnch1,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77329_d,thaumcraft:tc4_dust,
InfEnch2,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77327_f,thaumcraft:tc4_dust,
InfEnch3,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77328_g,thaumcraft:tc4_dust,
InfEnch4,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77330_e,thaumcraft:tc4_dust,
InfEnch5,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77340_h,thaumcraft:tc4_dust,
InfEnch6,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77341_i,thaumcraft:tc4_dust,
InfEnch7,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_92091_k,thaumcraft:tc4_dust,
InfEnch8,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77338_j,thaumcraft:tc4_dust,
InfEnch9,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77339_k,thaumcraft:tc4_dust,
InfEnch10,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77336_l,thaumcraft:tc4_amber,
InfEnch11,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77337_m,thaumcraft:tc4_dust,
InfEnch12,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77334_n,thaumcraft:tc4_dust,
InfEnch13,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77335_o,thaumcraft:tc4_dust,
InfEnch14,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77349_p,thaumcraft:tc4_dust,
InfEnch15,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77348_q,thaumcraft:tc4_dust,
InfEnch16,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77347_r,thaumcraft:tc4_dust,
InfEnch17,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77346_s,thaumcraft:tc4_dust,
InfEnch18,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77345_t,thaumcraft:tc4_dust,
InfEnch19,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77344_u,thaumcraft:tc4_dust,
InfEnch20,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77343_v,thaumcraft:tc4_dust,
InfEnch21,INFUSION_ENCHANTMENT,INFUSIONENCHANTMENT,ENCHANTMENT:Enchantment.field_77342_w,thaumcraft:tc4_dust,
WandPed,INFUSION,WANDPED,thaumcraft:tc4_block_wand_pedestal,thaumcraft:tc4_block_arcane_pedestal,minecraft:gold_ingot|minecraft:diamond|thaumcraft:tc4_charm|minecraft:diamond
WandPedFocus,INFUSION,WANDPEDFOC,thaumcraft:tc4_block_wand_pedestal_focus,minecraft:quartz,thaumcraft:tc4_shard_terra|thaumcraft:tc4_filter|thaumcraft:tc4_shard_terra|thaumcraft:tc4_filter|thaumcraft:tc4_shard_terra|thaumcraft:tc4_filter|thaumcraft:tc4_shard_terra|thaumcraft:tc4_filter
NodeStabilizerAdv,INFUSION,NODESTABILIZERADV,thaumcraft:tc4_block_node_stabilizer_advanced,thaumcraft:tc4_block_node_stabilizer,thaumcraft:tc4_nitor|minecraft:redstone_block|thaumcraft:tc4_alumentum|minecraft:redstone_block|thaumcraft:tc4_nitor|minecraft:redstone_block|thaumcraft:tc4_alumentum|minecraft:redstone_block
HoverHarness,INFUSION,HOVERHARNESS,thaumcraft:tc4_hoverharness,minecraft:bow,thaumcraft:tc4_shard_aer|thaumcraft:tc4_shard_aer|thaumcraft:tc4_block_greatwood_planks|thaumcraft:tc4_block_greatwood_planks|minecraft:quartz|minecraft:gold_ingot|minecraft:gold_ingot|minecraft:iron_ingot|minecraft:iron_ingot
HoverGirdle,INFUSION,HOVERGIRDLE,thaumcraft:tc4_hovergirdle,thaumcraft:tc4_bauble_amulet,thaumcraft:tc4_shard_aer|minecraft:feather|minecraft:gold_ingot|thaumcraft:tc4_shard_terra|minecraft:feather|minecraft:gold_ingot
VisAmulet,INFUSION,VISAMULET,thaumcraft:tc4_vis_amulet,thaumcraft:tc4_bauble_amulet,thaumcraft:tc4_charm|thaumcraft:tc4_block_crystal_cluster|thaumcraft:tc4_block_crystal_cluster|thaumcraft:tc4_charm|thaumcraft:tc4_block_crystal_cluster|thaumcraft:tc4_block_crystal_cluster
RunicAmulet,INFUSION,RUNICARMOR,thaumcraft:tc4_runic_amulet,thaumcraft:tc4_bauble_amulet,thaumcraft:tc4_charm|thaumcraft:tc4_amber|thaumcraft:tc4_cloth|thaumcraft:tc4_nitor|thaumcraft:tc4_nitor|thaumcraft:tc4_inkwell
RunicAmuletEmergency,INFUSION,RUNICEMERGENCY,thaumcraft:tc4_runic_amulet,thaumcraft:tc4_runic_amulet,thaumcraft:tc4_shard_balanced|thaumcraft:tc4_shard_terra|thaumcraft:tc4_shard_terra|minecraft:emerald|thaumcraft:tc4_shard_terra|thaumcraft:tc4_shard_terra
RunicRing,INFUSION,RUNICARMOR,thaumcraft:tc4_runic_ring,thaumcraft:tc4_bauble_amulet,thaumcraft:tc4_charm|thaumcraft:tc4_amber|thaumcraft:tc4_cloth|thaumcraft:tc4_nitor|thaumcraft:tc4_inkwell
RunicRingCharged,INFUSION,RUNICCHARGED,thaumcraft:tc4_runic_ring,thaumcraft:tc4_runic_ring,thaumcraft:tc4_shard_balanced|thaumcraft:tc4_shard_ignis|thaumcraft:tc4_shard_ignis|minecraft:emerald|thaumcraft:tc4_shard_ignis|thaumcraft:tc4_shard_ignis
RunicRingHealing,INFUSION,RUNICHEALING,thaumcraft:tc4_runic_ring,thaumcraft:tc4_runic_ring,thaumcraft:tc4_shard_balanced|thaumcraft:tc4_shard_aqua|thaumcraft:tc4_shard_aqua|minecraft:emerald|thaumcraft:tc4_shard_aqua|thaumcraft:tc4_shard_aqua
RunicGirdle,INFUSION,RUNICARMOR,thaumcraft:tc4_runic_girdle,thaumcraft:tc4_bauble_amulet,thaumcraft:tc4_charm|thaumcraft:tc4_amber|thaumcraft:tc4_cloth|thaumcraft:tc4_nitor|thaumcraft:tc4_nitor|thaumcraft:tc4_nitor|thaumcraft:tc4_inkwell
RunicGirdleKinetic,INFUSION,RUNICKINETIC,thaumcraft:tc4_runic_girdle,thaumcraft:tc4_runic_girdle,thaumcraft:tc4_shard_balanced|thaumcraft:tc4_shard_aer|thaumcraft:tc4_shard_aer|minecraft:emerald|thaumcraft:tc4_shard_aer|thaumcraft:tc4_shard_aer
RunicGirdleKinetic_2,INFUSION,RUNICKINETIC,thaumcraft:tc4_runic_girdle,thaumcraft:tc4_runic_girdle,thaumcraft:tc4_shard_balanced|thaumcraft:tc4_shard_aer|thaumcraft:tc4_shard_aer|minecraft:emerald|thaumcraft:tc4_shard_aer|thaumcraft:tc4_shard_aer
ElementalAxe,INFUSION,ELEMENTALAXE,thaumcraft:tc4_elementalaxe,thaumcraft:tc4_thaumiumaxe,thaumcraft:tc4_shard_aqua|thaumcraft:tc4_shard_aqua|minecraft:diamond|thaumcraft:tc4_block_greatwood_log
ElementalPick,INFUSION,ELEMENTALPICK,thaumcraft:tc4_elementalpick,thaumcraft:tc4_thaumiumpick,thaumcraft:tc4_shard_ignis|thaumcraft:tc4_shard_ignis|minecraft:diamond|thaumcraft:tc4_block_greatwood_log
ElementalSword,INFUSION,ELEMENTALSWORD,thaumcraft:tc4_elementalsword,thaumcraft:tc4_thaumiumsword,thaumcraft:tc4_shard_aer|thaumcraft:tc4_shard_aer|minecraft:diamond|thaumcraft:tc4_block_greatwood_log
ElementalShovel,INFUSION,ELEMENTALSHOVEL,thaumcraft:tc4_elementalshovel,thaumcraft:tc4_thaumiumshovel,thaumcraft:tc4_shard_terra|thaumcraft:tc4_shard_terra|minecraft:diamond|thaumcraft:tc4_block_greatwood_log
ElementalHoe,INFUSION,ELEMENTALHOE,thaumcraft:tc4_elementalhoe,thaumcraft:tc4_thaumiumhoe,thaumcraft:tc4_shard_ordo|thaumcraft:tc4_shard_perditio|minecraft:diamond|thaumcraft:tc4_block_greatwood_log
BootsTraveller,INFUSION,BOOTSTRAVELLER,thaumcraft:tc4_bootstraveler,minecraft:book,thaumcraft:tc4_shard_aer|thaumcraft:tc4_shard_aer|thaumcraft:tc4_cloth|thaumcraft:tc4_cloth|minecraft:feather|minecraft:cod
