record_type,original_path,port_paths,status,application_status,priority,original_sha1,original_sha256,port_sha1,reference_count,references,byte_exact_core_copy_count,byte_exact_shipped_count,notes,original_width,original_height,original_mode,original_bit_depth_estimate,original_has_alpha,original_alpha_min,original_alpha_max,original_transparent_pixels,original_partial_alpha_pixels,original_parse,original_frametime,original_interpolate,original_explicit_frames,original_frame_spec
ORIGINAL,textures/aspects/exanimis.png,aspects/exanimis.png | item/aspect_exanimis.png | original/thaumcraft4/aspects/exanimis.png,MATCH,USED,P2,38554abb011653f06ba53fb34d7e753a9108b495,07b87ff10fca2dd083896cd06030439709d6816fae21cb2f1a162c9a7da95974,38554abb011653f06ba53fb34d7e753a9108b495,3,aspects/exanimis.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,LA,16,True,0,255,174,626,,,,,
ORIGINAL,textures/aspects/fabrico.png,aspects/fabrico.png | item/aspect_fabrico.png | original/thaumcraft4/aspects/fabrico.png,MATCH,USED,P2,4743e668c28744cac966b7367bbcd1679e3ddd4d,6ab7bcc19e766a4c6924967effcdf86b39787cbf0b29fdf720ff27097cc39d03,4743e668c28744cac966b7367bbcd1679e3ddd4d,3,aspects/fabrico.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,354,541,,,,,
ORIGINAL,textures/aspects/fames.png,aspects/fames.png | item/aspect_fames.png | original/thaumcraft4/aspects/fames.png,MATCH,USED,P2,a4a10a4cb878afbade6df63a180ee827e4f7c757,df9cf0beb0f4506c67c4bd5efd2aa73a886e76319fc1988094c6cf468acae54f,a4a10a4cb878afbade6df63a180ee827e4f7c757,3,aspects/fames.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,393,539,,,,,
ORIGINAL,textures/aspects/gelum.png,aspects/gelum.png | item/aspect_gelum.png | original/thaumcraft4/aspects/gelum.png,MATCH,USED,P2,44f791de06f0e0de9a3984c6eb726a69aa68d931,3b25e7d5c0c940bf5854f30c5e5ab9da4993370d3b10ed46d21606c23f2af958,44f791de06f0e0de9a3984c6eb726a69aa68d931,3,aspects/gelum.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,135,725,,,,,
ORIGINAL,textures/aspects/herba.png,aspects/herba.png | item/aspect_herba.png | original/thaumcraft4/aspects/herba.png,MATCH,USED,P2,c0163778861c7aa9ab5381043ff2ef8446b59701,ff431f768d780e2599015325c21081dc65fd4565ea68778b51a7553f0d5f69fd,c0163778861c7aa9ab5381043ff2ef8446b59701,3,aspects/herba.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,262,481,,,,,
ORIGINAL,textures/aspects/humanus.png,aspects/humanus.png | item/aspect_humanus.png | original/thaumcraft4/aspects/humanus.png,MATCH,USED,P2,0baa77ed4780a82ef206ea747cd2b76a066e6e54,bf5669ee82b776d43e543aada91cc9106d4d07c55d508647cc670a4ad03ea6d1,0baa77ed4780a82ef206ea747cd2b76a066e6e54,3,aspects/humanus.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,77,757,,,,,
ORIGINAL,textures/aspects/ignis.png,aspects/ignis.png | item/aspect_ignis.png | original/thaumcraft4/aspects/ignis.png,MATCH,USED,P2,043db6dc93aae7230bd4cea1626aacede121eedd,3fa6065d3dcf2ce112fcd5bfebf183db6fa93f17588d437f95258417aea7ae0c,043db6dc93aae7230bd4cea1626aacede121eedd,4,aspects/ignis.png:3 | item/aspect_ignis.png:1,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,104,842,,,,,
ORIGINAL,textures/aspects/instrumentum.png,aspects/instrumentum.png | item/aspect_instrumentum.png | original/thaumcraft4/aspects/instrumentum.png,MATCH,USED,P2,1a0b64e05e4012cba10e4300796450d0e9d51361,f3c591927bf9821e40f06a4f1bd7e746ae423273bc25532ad769e233913d5c91,1a0b64e05e4012cba10e4300796450d0e9d51361,3,aspects/instrumentum.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,LA,16,True,0,255,166,744,,,,,
ORIGINAL,textures/aspects/iter.png,aspects/iter.png | item/aspect_iter.png | original/thaumcraft4/aspects/iter.png,MATCH,USED,P2,5c784ce5b89486e2ae80e6189be02af02b570689,094d0c7bb3a096f37a795ff6f14e044f18dcbedf2daae3cb05dbc288a26b9ce9,5c784ce5b89486e2ae80e6189be02af02b570689,3,aspects/iter.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,345,464,,,,,
ORIGINAL,textures/aspects/limus.png,aspects/limus.png | item/aspect_limus.png | original/thaumcraft4/aspects/limus.png,MATCH,USED,P2,ff66c0ff41b869fd529a675a65c9ba8cccf17836,8330438c84d7d40d796fcdcd94e695b2be46956a88052df7c33e2b64be987468,ff66c0ff41b869fd529a675a65c9ba8cccf17836,3,aspects/limus.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,338,659,,,,,
ORIGINAL,textures/aspects/lucrum.png,aspects/lucrum.png | item/aspect_lucrum.png | original/thaumcraft4/aspects/lucrum.png,MATCH,USED,P2,5f9dabfeb05cbf7b0d992adf2c617cad684aa830,67b4c20bcace1102c6355cecbf4e68399b1e27f535c99fe5af455c8b71b107c1,5f9dabfeb05cbf7b0d992adf2c617cad684aa830,3,aspects/lucrum.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,363,448,,,,,
ORIGINAL,textures/aspects/lux.png,aspects/lux.png | item/aspect_lux.png | original/thaumcraft4/aspects/lux.png,MATCH,USED,P2,ef27afedd11ef37341cb8dff0ecbb10e73779113,ef6d5a8e5515e211bcfd064edba0e457b9900871c4e6252c24cac541f85b9a45,ef27afedd11ef37341cb8dff0ecbb10e73779113,3,aspects/lux.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,536,330,,,,,
ORIGINAL,textures/aspects/machina.png,aspects/machina.png | item/aspect_machina.png | original/thaumcraft4/aspects/machina.png,MATCH,USED,P2,b401621958ad1333e9fd8350376e1006b98a65e8,3409397b36185559bd107e974d81f67700d6ed73aaf20bc278693ab74fac2725,b401621958ad1333e9fd8350376e1006b98a65e8,3,aspects/machina.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,262,473,,,,,
ORIGINAL,textures/aspects/messis.png,aspects/messis.png | item/aspect_messis.png | original/thaumcraft4/aspects/messis.png,MATCH,USED,P2,df28ab758685eea28328cea925fefb1723c2eb33,57ac8e9765539d37f48540ec2561f3412e08ac34830310509032a0c3b1a1e39f,df28ab758685eea28328cea925fefb1723c2eb33,3,aspects/messis.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,117,826,,,,,
ORIGINAL,textures/aspects/metallum.png,aspects/metallum.png | item/aspect_metallum.png | original/thaumcraft4/aspects/metallum.png,MATCH,USED,P2,9256be822a7ffc776d7ba1ed46cad89ec52c8f13,c6a10dfa60af0810f3d24c57c78d412fc26f0c1bcf8598384ce01ea6a081a843,9256be822a7ffc776d7ba1ed46cad89ec52c8f13,4,aspects/metallum.png:3 | item/aspect_metallum.png:1,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,428,425,,,,,
ORIGINAL,textures/aspects/meto.png,aspects/meto.png | item/aspect_meto.png | original/thaumcraft4/aspects/meto.png,MATCH,USED,P2,787ee8d1e3865e027be820af9648f8903d645289,6788bb14810d909006c99c6aa7ad9154f1ee1105f2c5303e103327caf16f1c16,787ee8d1e3865e027be820af9648f8903d645289,3,aspects/meto.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,478,410,,,,,
ORIGINAL,textures/aspects/mortuus.png,aspects/mortuus.png | item/aspect_mortuus.png | original/thaumcraft4/aspects/mortuus.png,MATCH,USED,P2,db71435c833eee56ddcfb943a4447def799fbfbe,886cee2a8d9c7b1e02d4a583439f520c859290ac52b61c29f2fab7675bb96df2,db71435c833eee56ddcfb943a4447def799fbfbe,3,aspects/mortuus.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,116,679,,,,,
ORIGINAL,textures/aspects/motus.png,aspects/motus.png | item/aspect_motus.png | original/thaumcraft4/aspects/motus.png,MATCH,USED,P2,69a344d364bd6cc4f4041a4e93463e910d8efcfd,add6a0cc3a006885872a3242b3c1d835cb800a2fc8b0150859649938bc27d4a4,69a344d364bd6cc4f4041a4e93463e910d8efcfd,3,aspects/motus.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,33,836,,,,,
ORIGINAL,textures/aspects/ordo.png,aspects/ordo.png | item/aspect_ordo.png | original/thaumcraft4/aspects/ordo.png,MATCH,USED,P2,5ca60b54053740b26d1910ee4b550d98f915ed88,5da1027cdcea8d1d4d922601d953bb4310bed5543b36d74bb07a9f6588bd22d5,5ca60b54053740b26d1910ee4b550d98f915ed88,4,aspects/ordo.png:3 | item/aspect_ordo.png:1,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,94,865,,,,,
ORIGINAL,textures/aspects/pannus.png,aspects/pannus.png | item/aspect_pannus.png | original/thaumcraft4/aspects/pannus.png,MATCH,USED,P2,4159dbecf88b494696ffd7a1f9b12bb6fb84ad90,dffd125eae2bcb295fe39eb5ac7fd3ce15272bf46530c37adf64dd5b5b38ac39,4159dbecf88b494696ffd7a1f9b12bb6fb84ad90,3,aspects/pannus.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,306,411,,,,,
ORIGINAL,textures/aspects/perditio.png,aspects/perditio.png | item/aspect_perditio.png | original/thaumcraft4/aspects/perditio.png,MATCH,USED,P2,6713095e94168fffc0d2ad686248b321219e2e1b,dc539741d87f377b704a738b9cb6ad09acbf7735fce829fe4e100a16f2830a21,6713095e94168fffc0d2ad686248b321219e2e1b,4,aspects/perditio.png:3 | item/aspect_perditio.png:1,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,99,671,,,,,
ORIGINAL,textures/aspects/perfodio.png,aspects/perfodio.png | item/aspect_perfodio.png | original/thaumcraft4/aspects/perfodio.png,MATCH,USED,P2,2ad8ae2a193175542fe46af562ccc9bf5cf4f7d0,62d2d4069a13ea488d1592c9babfef16688a14c23eb32c4f03d2ca2f7a749f21,2ad8ae2a193175542fe46af562ccc9bf5cf4f7d0,3,aspects/perfodio.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,99,709,,,,,
ORIGINAL,textures/aspects/permutatio.png,aspects/permutatio.png | item/aspect_permutatio.png | original/thaumcraft4/aspects/permutatio.png,MATCH,USED,P2,c019effd436d445fc22c3bc70a31fbc11ba01901,d05161c9f804efaf3826e9c878604c84bc9eb04cbbf63710e2ef693bd4f9ad6b,c019effd436d445fc22c3bc70a31fbc11ba01901,3,aspects/permutatio.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,234,555,,,,,
ORIGINAL,textures/aspects/potentia.png,aspects/potentia.png | item/aspect_potentia.png | original/thaumcraft4/aspects/potentia.png,MATCH,USED,P2,8d993508b1265eb11c8801a0a89924f4b4845175,4fcaeacc7674d71717d7f578ce7bd2b5568e26f9a3ddd550585b2ab6b3eb4b48,8d993508b1265eb11c8801a0a89924f4b4845175,3,aspects/potentia.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,378,511,,,,,
ORIGINAL,textures/aspects/praecantatio.png,aspects/praecantatio.png | item/aspect_praecantatio.png | original/thaumcraft4/aspects/praecantatio.png,MATCH,USED,P2,daacd782bdd66d6330f85d3354cf18f33164cb4d,bf3f176b7926c4b5c9d9f1d51ae9e96b2df4be7b084f70f902018476a8cae990,daacd782bdd66d6330f85d3354cf18f33164cb4d,4,aspects/praecantatio.png:3 | item/aspect_praecantatio.png:1,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,283,618,,,,,
ORIGINAL,textures/aspects/sano.png,aspects/sano.png | item/aspect_sano.png | original/thaumcraft4/aspects/sano.png,MATCH,USED,P2,6c85a7c6d95ca6affac9e2f138cffdce9a49e15d,8151762b36609198d46bc2ec6c5713cea5be07cb5cb73443d060cda4d3427df2,6c85a7c6d95ca6affac9e2f138cffdce9a49e15d,3,aspects/sano.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,369,460,,,,,
ORIGINAL,textures/aspects/sensus.png,aspects/sensus.png | item/aspect_sensus.png | original/thaumcraft4/aspects/sensus.png,MATCH,USED,P2,80fc1eb9e7453b9a8de47baf564cb0b792baef65,468b8745598dda27dd60591cdd413c21c497b118d07235125ce7e4d05daf203b,80fc1eb9e7453b9a8de47baf564cb0b792baef65,3,aspects/sensus.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,148,818,,,,,
ORIGINAL,textures/aspects/spiritus.png,aspects/spiritus.png | item/aspect_spiritus.png | original/thaumcraft4/aspects/spiritus.png,MATCH,USED,P2,66d3f602c31f6b4930e117ab6273c0904bb73ba7,a3f833849381dc3664c16148ad22ef722b751357767b9b30ff2da64437024f48,66d3f602c31f6b4930e117ab6273c0904bb73ba7,3,aspects/spiritus.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,133,106,918,,,,,
ORIGINAL,textures/aspects/telum.png,aspects/telum.png | item/aspect_telum.png | original/thaumcraft4/aspects/telum.png,MATCH,USED,P2,980551b114f4f07e64d1505f538ad26b8d6dd50e,06cbb8fc42b586f33ee1e351e4d6a859e31541656e4e1ed17da01cf2ae2acb2b,980551b114f4f07e64d1505f538ad26b8d6dd50e,3,aspects/telum.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,408,520,,,,,
ORIGINAL,textures/aspects/tempestas.png,aspects/tempestas.png | item/aspect_tempestas.png | original/thaumcraft4/aspects/tempestas.png,MATCH,USED,P2,4a7040edea313d7760f2a894a5e2b17cf672315d,c5f2ad22c8ab994b94dfe308a938adc36aad430d2648f22cd20898230c5138b0,4a7040edea313d7760f2a894a5e2b17cf672315d,3,aspects/tempestas.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,366,523,,,,,
ORIGINAL,textures/aspects/tenebrae.png,aspects/tenebrae.png | item/aspect_tenebrae.png | original/thaumcraft4/aspects/tenebrae.png,MATCH,USED,P2,e9d7d27928c8cabf0010bb584f0f37bb558e28ac,259965ec310550326983fc7a1f12d9d68ce42fb30ec4fd7c40a36bf80287b49a,e9d7d27928c8cabf0010bb584f0f37bb558e28ac,3,aspects/tenebrae.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,541,418,,,,,
ORIGINAL,textures/aspects/terra.png,aspects/terra.png | item/aspect_terra.png | original/thaumcraft4/aspects/terra.png,MATCH,USED,P2,08486368387736d36446619a79c92ee15ebe22ad,d02320de3ac736ec2c6c5d8e511b6052c5dc8dd0867b3309597d0e2b6d18e0f9,08486368387736d36446619a79c92ee15ebe22ad,4,aspects/terra.png:3 | item/aspect_terra.png:1,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,150,801,,,,,
ORIGINAL,textures/aspects/tutamen.png,aspects/tutamen.png | item/aspect_tutamen.png | original/thaumcraft4/aspects/tutamen.png,MATCH,USED,P2,792a035c517cfd95f649d12a8595de8d8beae587,fd641ea252249aaa9cddac87a12a6983d37a209734bed11390b9e6388ac9c2b5,792a035c517cfd95f649d12a8595de8d8beae587,3,aspects/tutamen.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,339,533,,,,,
ORIGINAL,textures/aspects/vacuos.png,aspects/vacuos.png | item/aspect_vacuos.png | original/thaumcraft4/aspects/vacuos.png,MATCH,USED,P2,48691f69950f4c3eb7fd12248a0674c0b6c0bf97,9408f51b66886d2d81a68b1a5c6d24e21d0921c190d1fc518b9a95a9ab907ae6,48691f69950f4c3eb7fd12248a0674c0b6c0bf97,3,aspects/vacuos.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,92,930,,,,,
ORIGINAL,textures/aspects/venenum.png,aspects/venenum.png | item/aspect_venenum.png | original/thaumcraft4/aspects/venenum.png,MATCH,USED,P2,4e7dfc1657fe1b45210403e23592339ca54906ba,ae39c7bfa11c9a2666940d73a298e7b83124a785bed1dd8ed60c31bc3ccbc86e,4e7dfc1657fe1b45210403e23592339ca54906ba,3,aspects/venenum.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,310,666,,,,,
ORIGINAL,textures/aspects/victus.png,aspects/victus.png | item/aspect_victus.png | original/thaumcraft4/aspects/victus.png,MATCH,USED,P2,405b99f9d6f23744c71626efc205f2d40a3356a0,265fcf71d1769900601462c0ac8aeb13f85c8d6ac068bf54ea9a4498166ea5bc,405b99f9d6f23744c71626efc205f2d40a3356a0,3,aspects/victus.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,77,871,,,,,
ORIGINAL,textures/aspects/vinculum.png,aspects/vinculum.png | item/aspect_vinculum.png | original/thaumcraft4/aspects/vinculum.png,MATCH,USED,P2,97aae30f873aa539dae3fc1528ae084648519ca7,4c48f3f067806c9dbc736980a87805d5e4779589680021762e67e90478eaaa19,97aae30f873aa539dae3fc1528ae084648519ca7,3,aspects/vinculum.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,434,536,,,,,
ORIGINAL,textures/aspects/vitium.png,aspects/vitium.png | item/aspect_vitium.png | original/thaumcraft4/aspects/vitium.png,MATCH,USED,P2,e5bda8e263fd19ff4739eac1c5f02815389f95ca,2809e4b7ccbf6ef15823e4bc7bf090df2c18c347d430dbc2c96b068a99410d61,e5bda8e263fd19ff4739eac1c5f02815389f95ca,3,aspects/vitium.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,168,659,,,,,
ORIGINAL,textures/aspects/vitreus.png,aspects/vitreus.png | item/aspect_vitreus.png | original/thaumcraft4/aspects/vitreus.png,MATCH,USED,P2,1990624616389875d4aea49cecf28b109a9185d5,e7f3a702beb7229ae7388b588fa280234ecf78bd81d97fc98dbd737dabc93637,1990624616389875d4aea49cecf28b109a9185d5,4,aspects/vitreus.png:3 | item/aspect_vitreus.png:1,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,182,623,,,,,
ORIGINAL,textures/aspects/volatus.png,aspects/volatus.png | item/aspect_volatus.png | original/thaumcraft4/aspects/volatus.png,MATCH,USED,P2,37860e23f2861d80f8230c33fb7dc9f1601462d2,59a09f9fb3ed6faa17037ad69e0715e320769d961867e7a24f476fa278816055,37860e23f2861d80f8230c33fb7dc9f1601462d2,3,aspects/volatus.png:3,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,32,32,RGBA,32,True,0,255,467,412,,,,,
ORIGINAL,textures/blocks/adoorbot.png,original/thaumcraft4/blocks/adoorbot.png | block/tc4/adoorbot.png,MATCH,PRESENT_UNUSED,P1,6f6c40c59b40cc828e4c5af300189c82cd626d51,0fa7acb59cdf51e28e7ec908959e1eb6d650a800346141fea3d5f39a969c6c93,6f6c40c59b40cc828e4c5af300189c82cd626d51,0,,1,2,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,16,16,RGB,24,False,255,255,0,0,,,,,
ORIGINAL,textures/blocks/adoortop.png,original/thaumcraft4/blocks/adoortop.png | block/tc4/adoortop.png,MATCH,PRESENT_UNUSED,P1,033ee91f95cde251a6fdc89fb32eeb5274c95b4b,0400597c3280c54db79df3b72d6394da0a4412d020a28a84c1ecdb8f9825d6d5,033ee91f95cde251a6fdc89fb32eeb5274c95b4b,0,,1,2,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,16,16,RGBA,32,True,0,255,8,0,,,,,
ORIGINAL,textures/blocks/al_furnace_front_off.png,block/alchemical_furnace.png | original/thaumcraft4/blocks/al_furnace_front_off.png | block/tc4/al_furnace_front_off.png,MATCH,USED,P1,9ee51fda85305e03883b6ec6e3849ad5c0135f8d,ab66c11e692756261cb3645bf73e0c03fdc8961ee52eabc6f961730afdd5ce50,9ee51fda85305e03883b6ec6e3849ad5c0135f8d,8,block/alchemical_furnace.png:8,2,3,Canonical TC4 asset is shipped byte-exact; runtime appearance still depends on model/UV/render state.,16,16,RGB,24,False,255,255,0,0,,,,,
